Sample Name	Duplication Rate	Reads Passed	Total	Q20 Bases	Q30 Bases	Insert Size Peak	Mean Insert Size (after filtering)	Alignment Rate
BF-d1-rep1-H3K27Ac	5.18%	6.749594 M (99.478260%)	6.784994 M	992.741052 M (97.542808%)	957.242647 M (94.054875%)	153	137	59.19%
BF-d1-rep1-H3K9me	6.80%	13.021274 M (99.453761%)	13.092792 M	1.917526 G (97.637756%)	1.849769 G (94.187651%)	162	136	60.02%
BF-d1-rep1-input	4.83%	1.598000 K (99.008674%)	1.614000 K	232.126000 K (95.880215%)	220.273000 K (90.984304%)	152	124	#
BF-d1-rep1AGo2	19.22%	29.550900 M (99.514438%)	29.695088 M	4.355093 G (97.773595%)	4.215042 G (94.629391%)	162	132	54.93%
BF-d1-rep1input	13.60%	18.015232 M (99.712561%)	18.067164 M	2.637899 G (97.336756%)	2.547033 G (93.983860%)	143	128	60.06%
BF-d1-rep2-H3K27Ac	5.12%	13.949454 M (99.582949%)	14.007874 M	2.021470 G (96.206360%)	1.928819 G (91.796878%)	132	122	55.99%
BF-d1-rep2-H3K9me	5.20%	11.929770 M (99.523048%)	11.986942 M	1.729909 G (96.210775%)	1.645195 G (91.499279%)	132	124	50.13%
BF-d1-rep2-input	2.77%	10.855660 M (98.874133%)	10.979272 M	1.549687 G (94.097744%)	1.407510 G (85.464659%)	153	131	48.30%
BF-d1-rep2AGo2	25.62%	13.765406 M (99.513760%)	13.832666 M	2.039041 G (98.271776%)	1.986317 G (95.730719%)	162	136	56.38%
BF-d1-rep3-input	1.60%	12.700920 M (98.915775%)	12.840136 M	1.778730 G (92.352626%)	1.612061 G (83.699048%)	153	120	55.80%
BF-d1-rep3H3K27Ac	15.14%	37.849010 M (99.561644%)	38.015654 M	5.622151 G (98.593621%)	5.502283 G (96.491538%)	143	137	61.31%
BF-d1-rep3H3K9me3	16.43%	72.792186 M (99.697383%)	73.013136 M	10.821947 G (98.812790%)	10.629386 G (97.054550%)	143	137	62.36%
BF-d1-rep4-Ago2-60	2.97%	15.700140 M (98.951726%)	15.866464 M	2.268150 G (95.301617%)	2.082310 G (87.493133%)	133	136	60.53%
BF-d3-rep1-H3K9me	3.56%	7.039720 M (98.539403%)	7.144066 M	993.633723 M (92.723455%)	890.712834 M (83.119131%)	174	124	56.73%
BF-d3-rep1-input	4.85%	36.167528 M (99.607058%)	36.310206 M	5.181894 G (95.141186%)	4.895424 G (89.881512%)	105	118	66.44%
BF-d3-rep1H3K27Ac	14.02%	9.719392 M (99.588791%)	9.759524 M	1.410511 G (96.351096%)	1.341651 G (91.647279%)	174	121	53.08%
