AaegL5_1 | Aedes_aegypti_LVP_AGWG | AaegL5 | 310827022 | chromosome
AaegL5_2 | Aedes_aegypti_LVP_AGWG | AaegL5 | 474425716 | chromosome
AaegL5_3 | Aedes_aegypti_LVP_AGWG | AaegL5 | 409777670 | chromosome
AaegL5_MT | Aedes_aegypti_LVP_AGWG | AaegL5 | 16790 | mitochondrial_chromosome
NIGP01000004 | Aedes_aegypti_LVP_AGWG | AaegL5 | 30735 | supercontig
NIGP01000005 | Aedes_aegypti_LVP_AGWG | AaegL5 | 39846 | supercontig
NIGP01000006 | Aedes_aegypti_LVP_AGWG | AaegL5 | 33725 | supercontig
NIGP01000007 | Aedes_aegypti_LVP_AGWG | AaegL5 | 1500 | supercontig
NIGP01000008 | Aedes_aegypti_LVP_AGWG | AaegL5 | 13849 | supercontig
NIGP01000009 | Aedes_aegypti_LVP_AGWG | AaegL5 | 54773 | supercontig
NIGP01000010 | Aedes_aegypti_LVP_AGWG | AaegL5 | 36088 | supercontig
NIGP01000011 | Aedes_aegypti_LVP_AGWG | AaegL5 | 28919 | supercontig
NIGP01000012 | Aedes_aegypti_LVP_AGWG | AaegL5 | 24835 | supercontig
NIGP01000013 | Aedes_aegypti_LVP_AGWG | AaegL5 | 5000 | supercontig
NIGP01000014 | Aedes_aegypti_LVP_AGWG | AaegL5 | 42773 | supercontig
NIGP01000015 | Aedes_aegypti_LVP_AGWG | AaegL5 | 33902 | supercontig
NIGP01000016 | Aedes_aegypti_LVP_AGWG | AaegL5 | 2500 | supercontig
NIGP01000017 | Aedes_aegypti_LVP_AGWG | AaegL5 | 37859 | supercontig
NIGP01000018 | Aedes_aegypti_LVP_AGWG | AaegL5 | 12500 | supercontig
NIGP01000019 | Aedes_aegypti_LVP_AGWG | AaegL5 | 1000 | supercontig
NIGP01000020 | Aedes_aegypti_LVP_AGWG | AaegL5 | 46401 | supercontig
NIGP01000021 | Aedes_aegypti_LVP_AGWG | AaegL5 | 500 | supercontig
NIGP01000022 | Aedes_aegypti_LVP_AGWG | AaegL5 | 1500 | supercontig
NIGP01000023 | Aedes_aegypti_LVP_AGWG | AaegL5 | 22171 | supercontig
NIGP01000024 | Aedes_aegypti_LVP_AGWG | AaegL5 | 25500 | supercontig
NIGP01000025 | Aedes_aegypti_LVP_AGWG | AaegL5 | 47651 | supercontig
NIGP01000026 | Aedes_aegypti_LVP_AGWG | AaegL5 | 2064 | supercontig
NIGP01000027 | Aedes_aegypti_LVP_AGWG | AaegL5 | 24487 | supercontig
NIGP01000028 | Aedes_aegypti_LVP_AGWG | AaegL5 | 32368 | supercontig
NIGP01000029 | Aedes_aegypti_LVP_AGWG | AaegL5 | 27129 | supercontig
NIGP01000030 | Aedes_aegypti_LVP_AGWG | AaegL5 | 31972 | supercontig
NIGP01000031 | Aedes_aegypti_LVP_AGWG | AaegL5 | 53421 | supercontig
NIGP01000032 | Aedes_aegypti_LVP_AGWG | AaegL5 | 2500 | supercontig
NIGP01000033 | Aedes_aegypti_LVP_AGWG | AaegL5 | 77204 | supercontig
NIGP01000034 | Aedes_aegypti_LVP_AGWG | AaegL5 | 74641 | supercontig
NIGP01000035 | Aedes_aegypti_LVP_AGWG | AaegL5 | 30262 | supercontig
NIGP01000036 | Aedes_aegypti_LVP_AGWG | AaegL5 | 117223 | supercontig
NIGP01000037 | Aedes_aegypti_LVP_AGWG | AaegL5 | 14504 | supercontig
