"chr","start","end","width","Conc","Conc_All_Others","Conc_K27Ac","Fold","p.value","FDR"
"AaegL5_1",288563694,288616728,53035,8.89434769523736,7.91742399785858,9.73196878135012,-1.81454478349154,2.94807307947788e-24,3.99758709577201e-21
"AaegL5_1",253441004,253884404,443401,10.7998925136561,10.3336750752697,11.327787614508,-0.994112539238269,5.48730562225804e-22,3.72039321189095e-19
"NIGP01000944",98491,103752,5262,3.5259994379421,1.79731533915266,4.60818202859617,-2.81086668944351,1.20228655781016e-18,5.43433524130195e-16
"AaegL5_1",233154348,233172905,18558,6.59297487908693,5.57821336020241,7.44748428951483,-1.86927092931243,9.61666403833476e-16,3.26004910899548e-13
"AaegL5_1",160126778,160130631,3854,4.25233067129377,2.98949365063669,5.20335300069658,-2.21385935005989,2.39353684367117e-15,6.49127192003622e-13
"AaegL5_1",272229656,272243732,14077,6.80662729449379,5.91430148549594,7.60406216066308,-1.68976067516714,3.82061781079771e-15,7.48362384235634e-13
"AaegL5_2",329075388,329124210,48823,7.23405276656856,6.4221596407677,7.98986823959757,-1.56770859882987,3.8632276472341e-15,7.48362384235634e-13
"AaegL5_2",371115889,371126961,11073,5.87393108239978,4.93713209933561,6.69292471057734,-1.75579261124173,1.03520859170689e-14,1.67684528378911e-12
"AaegL5_3",10802837,10818236,15400,6.31709301787319,5.57419698077745,7.03424903337856,-1.46005205260111,1.11295040959454e-14,1.67684528378911e-12
"AaegL5_1",288769420,288810735,41316,7.7828042416389,7.3281950292897,8.3013066630394,-0.973111633749693,1.95700384631338e-14,2.65369721560094e-12
"AaegL5_3",90702488,90728889,26402,6.43267567402661,5.70376200353937,7.14163723093645,-1.43787522739709,4.56614707379126e-14,5.62881402914631e-12
"AaegL5_1",173607212,173612014,4803,4.21467486421084,2.88633882143368,5.18761476057936,-2.30127593914568,1.12475568734326e-13,1.27097392669788e-11
"AaegL5_2",162350522,162512955,162434,9.47358052846196,9.0413990252894,9.97354178901965,-0.932142763730253,1.68039269620709e-13,1.75277884312063e-11
"AaegL5_1",176839993,176911721,71729,7.87630228194997,7.21315509776164,8.54496721860486,-1.33181212084322,2.17512234293521e-13,2.10676135501439e-11
"AaegL5_3",160031838,160108281,76444,8.0823656304286,7.73670361543197,8.50555129724475,-0.768847681812778,3.91618953000035e-13,3.3873283364012e-11
"AaegL5_3",226189342,226422462,233121,9.63528580297141,9.17979254578664,10.1545083645331,-0.974715818746475,3.99684759457369e-13,3.3873283364012e-11
"AaegL5_3",166544626,166592952,48327,7.97137633447744,7.44956421436355,8.54242758937172,-1.09286337500817,7.13137092749908e-13,5.68831704569927e-11
"AaegL5_2",197522551,197531093,8543,3.76640837043089,2.5231428775729,4.7106186047878,-2.18747572721489,8.80304867812371e-13,6.63163000418653e-11
"AaegL5_2",402423697,402528571,104875,8.49017277054705,7.88912084248042,9.1179318788963,-1.22881103641588,5.89149763704264e-12,4.20466883991043e-10
"AaegL5_3",132236758,132247026,10269,5.63399919974106,4.81445832459518,6.39392576098228,-1.5794674363871,1.27141016960132e-11,8.62016094989697e-10
"AaegL5_2",424409482,424414830,5349,5.09960670429446,4.1313038024815,5.93328933631675,-1.80198553383525,2.5888248353519e-11,1.67164117939866e-09
"AaegL5_3",225992641,226073195,80555,7.92885440062317,7.44956512726406,8.46716462078398,-1.01759949351993,3.10323364073025e-11,1.91033469815049e-09
"AaegL5_3",130472275,130837061,364787,10.1541244890848,9.78229671076942,10.6014556149857,-0.81915890421628,3.2402432195768e-11,1.91033469815049e-09
"AaegL5_1",160091680,160100726,9047,4.43678195904174,3.49382943493596,5.25868185388631,-1.76485241895035,4.55136537320985e-11,2.53826995417137e-09
"AaegL5_2",421597643,422148099,550457,10.5041941038119,10.1478340944592,10.9373536665813,-0.789519572122048,4.67970124294132e-11,2.53826995417137e-09
"AaegL5_2",263853500,263875774,22275,6.3933746650255,5.64905054110335,7.11136056050823,-1.46231001940488,4.88271459432908e-11,2.54652345765778e-09
"AaegL5_3",168999287,169065990,66704,8.19547174221881,7.53966781598854,8.85944957694881,-1.31978176096027,5.62562549673806e-11,2.72690098851005e-09
"AaegL5_3",89476458,89482918,6461,5.58906195355374,4.88888249034473,6.28078100358134,-1.39189851323661,5.63076900282312e-11,2.72690098851005e-09
"AaegL5_3",226915695,226924181,8487,5.66233863519246,4.80768856516987,6.44071619698094,-1.63302763181107,6.80568884606636e-11,3.18224623285034e-09
"AaegL5_1",201376729,201418436,41708,6.49222453212413,6.9648954301448,5.09522554633905,1.86966988380575,1.06720530937663e-10,4.82376799838239e-09
"AaegL5_2",5884879,5946851,61973,7.51952746453225,6.94299494958465,8.13030529892986,-1.18731034934521,1.17922003196244e-10,5.15813665593892e-09
"AaegL5_2",86387065,86731391,344327,10.1888523119066,9.8771176145881,10.579436473949,-0.702318859360926,1.30490581148751e-10,5.44387166720736e-09
"AaegL5_1",234710324,234925440,215117,9.32329595718276,8.94112612065979,9.77994195893903,-0.838815838279244,1.32483602520533e-10,5.44387166720736e-09
"AaegL5_3",240216844,240656231,439388,10.4823551036664,10.0274481796446,11.0011001294982,-0.973651949853588,1.56625096068244e-10,6.24657736083936e-09
"AaegL5_2",111025345,111033874,8530,7.1585278882445,7.54943705379339,6.16442760328035,1.38500945051304,1.70675930353304e-10,6.6124731874023e-09
"AaegL5_3",81675740,81717316,41577,6.84592858301619,6.23315015692259,7.48163862692381,-1.24848847000122,3.06143691657071e-10,1.15314123857497e-08
"AaegL5_2",368809632,368814438,4807,4.59534447284035,3.53225744209613,5.47051826439084,-1.93826082229471,4.91643518543382e-10,1.76635354524197e-08
"AaegL5_1",278767437,278796155,28719,5.83255172848405,5.06667522027972,6.56290601618024,-1.49623079590051,4.949958312625e-10,1.76635354524197e-08
"AaegL5_2",6080897,6092341,11445,4.73608617765479,3.93828912132436,5.48423567509234,-1.54594655376797,5.54487031240191e-10,1.92790875477359e-08
"AaegL5_2",398832701,398855012,22312,5.6720527204511,4.8461099717206,6.43539500403591,-1.58928503231531,6.24456427425408e-10,2.11690728897213e-08
"AaegL5_3",38573929,38582112,8184,4.54063837548533,5.0401956849849,2.97553083229749,2.06466485268741,1.05055319325622e-09,3.47401688684431e-08
"AaegL5_3",398889172,398895708,6537,5.446839345861,5.87421002830888,4.28954064240757,1.58466938590131,1.07602292955355e-09,3.47401688684431e-08
"AaegL5_2",243661739,243691219,29481,6.4419089477591,5.94166833910033,6.99656441602633,-1.054896076926,1.18300797594194e-09,3.73060189622622e-08
"AaegL5_2",153084780,153167162,82383,8.65140106772134,8.2786683637305,9.09955232201358,-0.820883958283076,1.4656015089338e-09,4.51671737753236e-08
"AaegL5_3",84302836,84358916,56081,7.13035259302571,6.52736916282799,7.75942879682066,-1.23205963399267,1.65483770217975e-09,4.98657760923499e-08
"AaegL5_1",151429423,151454320,24898,6.63799040389785,7.03525969845177,5.61700491813349,1.41825478031828,1.75721449238104e-09,5.17996272101888e-08
"AaegL5_3",274557843,274603636,45794,7.03040754470253,6.59738657374138,7.53107234533875,-0.933685771597363,1.83025914528749e-09,5.28049234257412e-08
"AaegL5_2",25483006,25950407,467402,10.8387348609983,10.4054518071511,11.3396191536556,-0.934167346504408,1.96560024170108e-09,5.55282068280556e-08
"AaegL5_1",251987581,251998168,10588,4.69471821111401,4.03994746992865,5.35803343361858,-1.31808596368992,2.25521147639568e-09,6.24095257549499e-08
"AaegL5_2",324133046,324136806,3761,4.7641915780458,3.90034893866395,5.54728839217974,-1.64693945351579,2.57093616670778e-09,6.9723788841115e-08
"AaegL5_1",252434854,252468303,33450,6.25434642392362,5.69548648967019,6.85257685569659,-1.15709036602639,3.53198884522844e-09,9.39093504731326e-08
"AaegL5_2",243617135,243641083,23949,6.6259834167161,5.83739577635571,7.36906153857507,-1.53166576221936,4.71149461435777e-09,1.22861282635945e-07
"AaegL5_3",10824429,10850239,25811,6.27717650133901,5.68010682035709,6.90221072077075,-1.22210390041366,4.99322156544253e-09,1.25843791981928e-07
"AaegL5_3",240189708,240209192,19485,6.89069439905568,6.31046990944077,7.50406055035303,-1.19359064091226,5.0114784417582e-09,1.25843791981928e-07
"AaegL5_3",243725143,243882133,156991,8.61075907995924,8.1832155365677,9.10681975986751,-0.923604223299808,5.71813193382978e-09,1.40763623954139e-07
"AaegL5_3",84420817,84441417,20601,5.78718969363928,5.05877365615637,6.49585727938304,-1.43708362322667,5.81324700695560e-09,1.40763623954139e-07
"AaegL5_2",374980955,374984926,3972,5.70786458673835,4.8808404470784,6.47178155680505,-1.59094110972664,6.01944246333476e-09,1.43199368075122e-07
"AaegL5_1",190095,506839,316745,9.90373170575435,9.53309906819931,10.3499781787474,-0.816879110548049,6.34434705201589e-09,1.48326458664371e-07
"AaegL5_1",160750453,160767012,16560,6.61850434879342,6.16493821531236,7.13615605069522,-0.971217835382861,7.38230876909193e-09,1.69667977811672e-07
"AaegL5_1",271803745,271865908,62164,7.22517912764175,6.79866649948165,7.720369652779,-0.921703153297351,8.69816558674671e-09,1.96578542260476e-07
"AaegL5_3",373250512,373256459,5948,4.82754298728957,3.97964346325808,5.60242584073649,-1.62278237747841,1.04644736230182e-08,2.31676313841182e-07
"AaegL5_3",15901345,15905329,3985,4.13912459893084,3.35864888445934,4.87769386202317,-1.51904497756384,1.05928698068977e-08,2.31676313841182e-07
"AaegL5_2",82358648,82730757,372110,10.0867842458346,9.82108311157255,10.4306229311379,-0.60953981956531,1.11352164284202e-08,2.39672277411711e-07
"AaegL5_3",84399098,84414141,15044,6.00938146955259,5.26895635966854,6.72509852412354,-1.456142164455,1.55010366513328e-08,3.2614398728082e-07
"AaegL5_1",208870932,208883218,12287,6.16953014568773,6.59082807442943,5.04102424830358,1.54980382612585,1.56337457029891e-08,3.2614398728082e-07
"AaegL5_2",72131925,72206081,74157,7.66466239117535,7.13907793215036,8.23853692212203,-1.09945898997167,1.61664844903235e-08,3.30453313541041e-07
"AaegL5_1",251710303,251782886,72584,8.45469202299222,8.06470721242611,8.9182933229916,-0.853586110565486,1.63277079699482e-08,3.30453313541041e-07
"AaegL5_1",251818638,251981666,163029,9.11870196989988,8.72781170294486,9.5831045338637,-0.855292830918842,2.55145934065989e-08,5.08791009696295e-07
"AaegL5_1",278632411,278634380,1970,2.62410964331428,1.25234342795424,3.61087106426131,-2.35852763630707,2.79551184325093e-08,5.493788491954e-07
"AaegL5_3",198325189,198329788,4600,5.34873571845509,5.80103716967135,4.06540582788093,1.73563134179042,3.04914062052428e-08,5.90662097347274e-07
"AaegL5_1",64035222,64044645,9424,4.75232252321687,5.26438484220315,3.10060159659486,2.16378324560829,3.40753144260773e-08,6.50790512137476e-07
"AaegL5_3",129744332,129747604,3273,3.25326688733317,2.25724546891311,4.09949200743641,-1.8422465385233,3.46609443930834e-08,6.5278111940307e-07
"AaegL5_2",350910873,350931659,20787,5.9431044049089,6.40387573020347,4.61378560270445,1.79009012749902,3.7103875672117e-08,6.89217197416311e-07
